Day,Price,Open,High,Low,close,adjusted_close,volume,Change %,RSI,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,WMA,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,MOM,WILLR,ADX,CCI,Aroon Up,Aroon Down
675,"2,111.72","2,128.68","2,131.45","2,097.85",2111.72,2111.72,4532160000,-0.68%,39.8275,2140.1735,2138.4937,-7.9422,-2.1065,-5.8357,21.3188,23.0694,2135.36,2165.677,2114.67,2140.1735,1.25E+12,7.92E+11,-38.77,-80.6692,24.8845,-199.1693,20,100
676,"2,097.94","2,109.43","2,111.76","2,094.00",2097.9399,2097.9399,4248580000,-0.65%,36.7414,2137.084,2134.6315,-10.1814,-3.4766,-6.7049,19.8823,18.9087,2131.3378,2166.9586,2107.2094,2137.084,1.25E+12,7.87E+11,-61.79,-94.7884,25.8994,-246.2494,15,100
677,"2,088.66","2,098.80","2,102.56","2,085.23",2088.6599,2088.6599,3886740000,-0.44%,34.8284,2133.4785,2130.2532,-12.56,-4.6841,-7.8759,18.6307,13.914,2126.726,2168.08,2098.877,2133.4785,1.25E+12,7.83E+11,-72.1101,-95.9347,27.0085,-232.9963,10,100
678,"2,085.18","2,083.79","2,099.07","2,083.79",2085.1799,2085.1799,3837860000,-0.17%,34.127,2130.0505,2125.9605,-14.5581,-5.3458,-9.2123,12.7639,5.469,2122.1261,2169.2258,2090.8752,2130.0505,1.24E+12,7.80E+11,-68.5601,-98.3803,28.0857,-199.0165,5,100
679,"2,131.52","2,100.59","2,132.00","2,100.59",2131.52,2131.52,3736060000,2.22%,48.6286,2128.4435,2126.49,-12.261,-2.4389,-9.8221,18.4605,35.9986,2122.2661,2164.4836,2092.4034,2128.4435,1.25E+12,7.83E+11,-32.1399,-38.6268,27.7796,-40.3523,0,95
680,"2,139.56","2,129.92","2,146.87","2,123.56",2139.5601,2139.5601,3916930000,0.38%,50.6142,2128.585,2127.7348,-9.6801,0.1135,-9.7937,34.9587,63.4087,2123.3248,2164.776,2092.394,2128.585,1.25E+12,7.87E+11,2.8301,-21.4507,27.0105,39.1026,0,90
681,"2,163.26","2,131.56","2,170.10","2,125.35",2163.26,2163.26,6264150000,1.11%,55.9028,2129.789,2131.1181,-5.6572,3.3092,-8.9664,64.1903,93.1636,2126.6272,2168.802,2090.776,2129.789,1.25E+12,7.93E+11,24.0801,-7.925,25.6819,113.7509,100,85
682,"2,167.48","2,167.49","2,182.30","2,151.17",2167.48,2167.48,6451640000,0.20%,56.7705,2131.5355,2134.5812,-2.1042,5.4897,-7.5939,81.6843,88.4807,2130.2168,2173.8723,2089.1986,2131.5355,1.25E+12,8.00E+11,34.9299,-15.0442,24.7154,157.1385,100,80
683,"2,164.45","2,162.71","2,165.92","2,152.49",2164.45,2164.45,4988050000,-0.14%,55.9386,2133.109,2137.4258,0.4617,6.4445,-5.9828,88.902,85.0617,2133.3515,2177.8165,2088.4015,2133.109,1.26E+12,7.95E+11,31.47,-18.1201,23.7972,118.1451,95,75
684,"2,164.20","2,165.64","2,171.36","2,156.08",2164.2,2164.2,5367200000,-0.01%,55.8675,2134.994,2139.9757,2.4469,6.7437,-4.2969,83.6582,77.4321,2136.3125,2181.568,2088.4199,2134.994,1.26E+12,7.90E+11,37.7,-18.3739,23.0584,116.9703,90,70
